P11,P12,P13,P21,P22,P23,P31,P32,P33,P41,P42,P43,R1,R2,R3,R4
-11602023.95,14063117.49,18811434.31,-20853271.57,1806977.212,16542682.12,-14355926.02,8650961.884,20736354.98,7475239.675,12966181.28,21931576.79,23568206.42,26183921.46,24652215.26,25606982.93
-11602700.41,14060708.16,18812823.4,-20855049.93,1805887.131,16540582.47,-14356344.17,8648384.477,20737164.34,7472917.322,12967714.46,21931442.6,23568427.79,26184404.11,24652621.9,25606499.47
-11603377.03,14058298.7,18814212.08,-20856828.12,1804797.28,16538482.46,-14356762.48,8645806.995,20737973.26,7470595.072,12969247.77,21931307.95,23568650.09,26184884.71,24653025.28,25606016.7
-11604053.8,14055889.09,18815600.33,-20858606.14,1803707.661,16536382.11,-14357180.94,8643229.438,20738781.75,7468272.927,12970781.22,21931172.82,23568869.53,26185366.65,24653428.84,25605534.46
-11604730.73,14053479.35,18816988.17,-20860383.99,1802618.273,16534281.41,-14357599.54,8640651.806,20739589.8,7465950.886,12972314.8,21931037.23,23569094.44,26185845.78,24653834.85,25605048.96
-11605407.81,14051069.46,18818375.59,-20862161.67,1801529.116,16532180.36,-14358018.3,8638074.1,20740397.42,7463628.95,12973848.5,21930901.18,23569315.41,26186327.8,24654241.18,25604567.33
-11606085.05,14048659.44,18819762.6,-20863939.19,1800440.19,16530078.97,-14358437.21,8635496.319,20741204.59,7461307.118,12975382.34,21930764.65,23569537.89,26186808.23,24654645.11,25604081.94
-11606762.45,14046249.29,18821149.19,-20865716.54,1799351.495,16527977.23,-14358856.27,8632918.464,20742011.34,7458985.391,12976916.32,21930627.66,23569760.06,26187289.5,24655052.48,25603599.69
-11607440,14043838.99,18822535.36,-20867493.71,1798263.031,16525875.14,-14359275.48,8630340.534,20742817.64,7456663.768,12978450.42,21930490.2,23569981.91,26187768.84,24655456.87,25603116.49
-11608117.71,14041428.56,18823921.11,-20869270.73,1797174.798,16523772.71,-14359694.83,8627762.53,20743623.51,7454342.25,12979984.65,21930352.28,23570205.86,26188253.19,24655862.48,25602632.61
-11608795.57,14039017.98,18825306.45,-20871047.57,1796086.796,16521669.93,-14360114.34,8625184.451,20744428.95,7452020.836,12981519.02,21930213.89,23570427.87,26188734.4,24656267.62,25602148.14
-11609473.59,14036607.28,18826691.36,-20872824.24,1794999.025,16519566.8,-14360534,8622606.298,20745233.94,7449699.528,12983053.51,21930075.03,23570650.32,26189215.46,24656671.9,25601667.63
-11610151.77,14034196.43,18828075.87,-20874600.75,1793911.485,16517463.32,-14360953.81,8620028.071,20746038.51,7447378.324,12984588.14,21929935.7,23570873.11,26189696.83,24657077.33,25601183.04
-11610830.1,14031785.44,18829459.95,-20876377.09,1792824.176,16515359.5,-14361373.78,8617449.77,20746842.63,7445057.225,12986122.9,21929795.91,23571094.64,26190179.33,24657484.65,25600699.44
-11611508.59,14029374.32,18830843.61,-20878153.25,1791737.098,16513255.33,-14361793.89,8614871.395,20747646.32,7442736.231,12987657.79,21929655.65,23571317.65,26190658.51,24657890.09,25600219.09
-11612187.23,14026963.06,18832226.86,-20879929.25,1790650.25,16511150.82,-14362214.15,8612292.946,20748449.57,7440415.342,12989192.81,21929514.92,23571542.27,26191142.23,24658293.69,25599735.33
-11612866.03,14024551.67,18833609.69,-20881705.09,1789563.634,16509045.96,-14362634.56,8609714.422,20749252.39,7438094.558,12990727.96,21929373.73,23571765.64,26191622.82,24658699.82,25599252.73
-11613544.98,14022140.13,18834992.11,-20883480.75,1788477.249,16506940.75,-14363055.12,8607135.825,20750054.77,7435773.879,12992263.25,21929232.07,23571987.53,26192101.52,24659106.95,25598769.06
-11614224.1,14019728.46,18836374.1,-20885256.24,1787391.094,16504835.19,-14363475.84,8604557.154,20750856.71,7433453.305,12993798.66,21929089.94,23572212.17,26192584.83,24659511.32,25598287.19
-11614903.36,14017316.65,18837755.68,-20887031.57,1786305.171,16502729.29,-14363896.7,8601978.41,20751658.22,7431132.837,12995334.2,21928947.34,23572433.91,26193065.36,24659918.71,25597804.99
-11615582.79,14014904.71,18839136.84,-20888806.72,1785219.478,16500623.05,-14364317.72,8599399.591,20752459.29,7428812.474,12996869.88,21928804.28,23572658.65,26193548.16,24660325.08,25597322.21
-11616262.37,14012492.62,18840517.58,-20890581.71,1784134.017,16498516.45,-14364738.88,8596820.699,20753259.93,7426492.216,12998405.69,21928660.75,23572882.73,26194030.43,24660732.89,25596841.22
-11616942.1,14010080.4,18841897.91,-20892356.53,1783048.786,16496409.51,-14365160.2,8594241.733,20754060.13,7424172.063,12999941.62,21928516.76,23573105.26,26194510.31,24661138.81,25596357.51
-11617621.99,14007668.05,18843277.81,-20894131.18,1781963.786,16494302.22,-14365581.66,8591662.694,20754859.89,7421852.016,13001477.69,21928372.3,23573329.67,26194992.98,24661542.66,25595876.93
-11618302.04,14005255.55,18844657.3,-20895905.66,1780879.017,16492194.59,-14366003.28,8589083.581,20755659.21,7419532.075,13003013.89,21928227.37,23573552.31,26195473.37,24661950.14,25595393.44
-11618980.3,14002844.64,18846041.59,-20897682.08,1779791.592,16490090.95,-14366423.16,8586505.319,20756463.56,7417210.925,13004548.58,21928087.81,23573778.97,26195958.8,24662359.26,25594914.2
-11619656.76,14000435.31,18847430.68,-20899460.43,1778701.511,16487991.29,-14366841.32,8583927.912,20757272.92,7414888.571,13006081.76,21927953.62,23574008.16,26196449.67,24662772.9,25594438.05
-11620333.37,13998025.84,18848819.36,-20901238.62,1777611.661,16485891.28,-14367259.63,8581350.429,20758081.84,7412566.321,13007615.08,21927818.96,23574238.27,26196938.47,24663183.28,25593962.58
-11621010.15,13995616.24,18850207.61,-20903016.64,1776522.042,16483790.93,-14367678.08,8578772.873,20758890.33,7410244.176,13009148.52,21927683.84,23574465.52,26197428.62,24663593.86,25593487.65
-11621687.07,13993206.49,18851595.45,-20904794.49,1775432.654,16481690.23,-14368096.69,8576195.241,20759698.38,7407922.135,13010682.1,21927548.25,23574698.25,26197915.96,24664006.87,25593009.46
-11622364.16,13990796.61,18852982.88,-20906572.17,1774343.497,16479589.18,-14368515.45,8573617.535,20760505.99,7405600.199,13012215.81,21927412.19,23574927.04,26198406.2,24664420.2,25592535.14
-11623041.4,13988386.59,18854369.88,-20908349.69,1773254.571,16477487.79,-14368934.36,8571039.754,20761313.17,7403278.367,13013749.65,21927275.67,23575157.33,26198894.83,24664831.14,25592057.06
-11623718.79,13985976.43,18855756.47,-20910127.04,1772165.876,16475386.05,-14369353.41,8568461.899,20762119.91,7400956.64,13015283.62,21927138.68,23575387.32,26199384.32,24665245.51,25591582.11
-11624396.35,13983566.14,18857142.64,-20911904.22,1771077.412,16473283.96,-14369772.62,8565883.969,20762926.22,7398635.017,13016817.72,21927001.22,23575616.98,26199871.87,24665656.91,25591106.22
-11625074.05,13981155.7,18858528.39,-20913681.23,1769989.179,16471181.53,-14370191.98,8563305.964,20763732.09,7396313.499,13018351.96,21926863.29,23575848.75,26200364.43,24666069.52,25590629.66
-11625751.92,13978745.13,18859913.73,-20915458.07,1768901.177,16469078.75,-14370611.49,8560727.886,20764537.52,7393992.086,13019886.32,21926724.9,23576078.57,26200853.84,24666481.66,25590152.49
-11626429.94,13976334.42,18861298.65,-20917234.74,1767813.405,16466975.62,-14371031.15,8558149.733,20765342.52,7391670.777,13021420.82,21926586.04,23576308.84,26201343.12,24666892.95,25589679.29
-11627108.11,13973923.57,18862683.15,-20919011.25,1766725.865,16464872.14,-14371450.96,8555571.506,20766147.08,7389349.573,13022955.45,21926446.71,23576539.44,26201832.7,24667305.39,25589202.01
-11627786.45,13971512.59,18864067.23,-20920787.59,1765638.556,16462768.32,-14371870.92,8552993.205,20766951.21,7387028.474,13024490.21,21926306.92,23576768.79,26202323.41,24667719.71,25588725.72
-11628464.93,13969101.47,18865450.9,-20922563.76,1764551.478,16460664.15,-14372291.03,8550414.83,20767754.9,7384707.48,13026025.09,21926166.66,23576999.62,26202810.8,24668132.15,25588252.68
-11629143.58,13966690.21,18866834.14,-20924339.76,1763464.631,16458559.64,-14372711.3,8547836.38,20768558.15,7382386.591,13027560.12,21926025.93,23577232.05,26203302.73,24668542.75,25587776.23
-11629822.38,13964278.81,18868216.97,-20926115.59,1762378.015,16456454.78,-14373131.71,8545257.857,20769360.97,7380065.807,13029095.27,21925884.74,23577463.23,26203791.54,24668955.89,25587300.94
-11630501.33,13961867.28,18869599.39,-20927891.25,1761291.629,16454349.57,-14373552.27,8542679.26,20770163.35,7377745.128,13030630.55,21925743.08,23577692.94,26204278.45,24669370.02,25586824.58
-11631180.44,13959455.61,18870981.38,-20929666.74,1760205.475,16452244.02,-14373972.99,8540100.589,20770965.29,7375424.555,13032165.96,21925600.95,23577925.39,26204769.98,24669781.39,25586350.02
-11631859.71,13957043.8,18872362.96,-20931442.07,1759119.551,16450138.11,-14374393.85,8537521.844,20771766.8,7373104.086,13033701.51,21925458.36,23578154.94,26205258.71,24670195.79,25585875.12
-11632539.14,13954631.85,18873744.12,-20933217.22,1758033.859,16448031.87,-14374814.86,8534943.026,20772567.87,7370783.723,13035237.18,21925315.3,23578387.5,26205749.72,24670609.17,25585399.66
-11633218.71,13952219.77,18875124.86,-20934992.21,1756948.397,16445925.27,-14375236.03,8532364.134,20773368.5,7368463.465,13036772.99,21925171.77,23578619.39,26206240.21,24671023.98,25584925.97
-11633898.45,13949807.55,18876505.19,-20936767.03,1755863.166,16443818.33,-14375657.34,8529785.168,20774168.7,7366143.313,13038308.93,21925027.77,23578849.73,26206728.3,24671436.9,25584449.57
-11634578.34,13947395.19,18877885.09,-20938541.68,1754778.167,16441711.05,-14376078.81,8527206.129,20774968.46,7363823.266,13039845,21924883.31,23579081.95,26207219.18,24671847.75,25583976.3
-11635258.39,13944982.7,18879264.58,-20940316.16,1753693.398,16439603.41,-14376500.43,8524627.016,20775767.79,7361503.324,13041381.19,21924738.38,23579312.41,26207707.78,24672262.23,25583500.12
-11635936.64,13942571.78,18880648.87,-20942092.58,1752605.973,16437499.77,-14376920.31,8522048.753,20776572.13,7359182.174,13042915.89,21924598.82,23579546.88,26208201.43,24672678.36,25583028.19
